lambda,NDCG,ILD,Combined
0.0,0.76388554296373,0.56560993,0.6845752985565583
0.1,0.7960003033148758,0.57500273,0.7076012739460178
0.2,0.8473768768711306,0.5568484,0.7311654947998176
0.3,0.8979202617526946,0.49573237,0.7370451128078042
0.4,0.9144132437480491,0.4772727,0.7395570190055967
0.5,0.9214521166131953,0.45229018,0.7337873409060275
0.6,0.9230660030966539,0.45025742,0.7339425760343992
0.7,0.9401223867220379,0.39436454,0.7218192552973447
0.8,0.9398366232283297,0.37693554,0.714676199529611
0.9,0.9398039239165885,0.3575437,0.7068998400877536
1.0,0.9337167270623495,0.30549604,0.6824284540201933
